code,mean
ABW,2
AFG,3.89
AGO,-8.71
AIA,-4.86
ALA,-22.28
ALB,6.5
AND,-23.83
ARE,1.62
ARG,0.32
ARM,8.79
ASM,-11.18
ATA,NA
ATF,NA
ATG,-3.01
AUS,4.05
AUT,-24.63
AZE,14.3
BDI,-25
BEL,-3.28
BEN,22.64
BES,-7.32
BFA,59.69
BGD,24.45
BGR,4.31
BHR,9.67
BHS,-9.71
BIH,3.25
BLM,-9.7
BLR,-18.86
BLZ,-6.27
BMU,-5.27
BOL,-10.03
BRA,-10.97
BRB,-20.65
BRN,-3.81
BTN,-3.4
BVT,NA
BWA,-2.03
CA-,16.86
CAF,14.04
CAN,-38.72
CCK,-8.51
CHE,-20.59
CHL,-3.92
CHN,11.07
CIV,11.23
CL-,NA
CMR,6.81
COD,0.27
COG,-1.37
COK,-5.66
COL,-7.2
COM,-0.35
CPV,-10.01
CRI,-12.15
CUB,-14.71
CUW,5.96
CXR,-6.53
CYM,0.38
CYP,4.13
CZE,-19.15
DEU,-20.26
DJI,55.16
DMA,-10.06
DNK,-24.87
DOM,-6.95
DZA,9.66
ECU,-3.84
EGY,9.94
ERI,3.95
ESH,-4.19
ESP,10.31
EST,-33.45
ETH,-15.34
FIN,-74.74
FJI,-8.14
FLK,-5.79
FRA,3.3
FRO,-11.53
FSM,-1.41
GAB,-5.44
GBR,-6.8
GEO,16.26
GGY,-7.96
GHA,18.95
GIB,0.12
GIN,5.9
GLP,-8.34
GMB,12.4
GNB,19.11
GNQ,-6.88
GRC,10.75
GRD,-4.96
GRL,-22.33
GTM,-7.74
GUF,-6.23
GUM,-0.81
GUY,5.78
HKG,-5
HMD,NA
HND,-10.91
HRV,1.19
HTI,2.95
HUN,-2.24
IDN,-3.87
IMN,-10.14
IND,2.44
IOT,NA
IRL,-6.42
IRN,20.95
IRQ,17.79
ISL,-66.35
ISR,-1.09
ITA,10.27
JAM,-8.38
JEY,-7.94
JOR,4.25
JPN,3.97
KAZ,0.22
KEN,-6.19
KGZ,10.54
KHM,10.18
KIR,-0.51
KNA,-6.11
KO-,-1.63
KOR,2.06
KWT,24.57
LAO,5.04
LBN,3.55
LBR,2.67
LBY,3.61
LCA,-11.12
LIE,-20.84
LKA,1.59
LSO,-18.34
LTU,-24.05
LUX,-12.41
LVA,-28.01
MAC,-5.2
MAF,-4.35
MAR,-6.41
MCO,0.59
MDA,18.79
MDG,-14.83
MDV,-6.9
MEX,-2.76
MHL,-3.39
MKD,7.49
MLI,37.16
MLT,4.16
MMR,9.03
MNE,-2.3
MNG,-25.96
MNP,-2.73
MOZ,2.59
MRT,42.12
MSR,-6.19
MTQ,-9.52
MUS,-12.31
MWI,-3.26
MYS,-8.02
MYT,-4.59
NAM,-4.12
NCL,-3.87
NER,68.24
NFK,-3.88
NGA,8.45
NIC,-3.09
NIU,-9.67
NLD,-9.86
NOR,-67.16
NPL,0.79
NRU,-4.01
NZL,2.46
OMN,0.64
PAK,51.21
PAN,-9.38
PCN,-3.24
PER,-11.19
PHL,-0.55
PLW,-1.36
PNG,-2.82
POL,-14.12
PRI,-17.17
PRK,-5.3
PRT,8.97
PRY,-1.15
PSE,3.66
PYF,-7.95
QAT,5.4
REU,-5.98
ROU,2.07
RUS,-20.9
RWA,-21.62
SAU,13.88
SDN,39.79
SEN,16.38
SGP,-27.48
SGS,NA
SHN,-4.16
SJM,-33.02
SLB,-2.96
SLE,7.62
SLV,-11.4
SMR,-3.43
SMX,-4.35
SOM,27.08
SP-,NA
SPM,-14.91
SRB,13.24
SSD,5.33
STP,-11.99
SUR,-7.41
SVK,-16.46
SVN,-10.98
SWE,-46.1
SWZ,-6.25
SYC,-5.06
SYR,18.76
TCA,-4.73
TCD,46.68
TGO,31.83
THA,0.67
TJK,14.58
TKL,0.85
TKM,17.81
TLS,-2.48
TON,-7.3
TTO,-14.4
TUN,9.05
TUR,6.66
TUV,-3.43
TWN,-1.25
TZA,-6.8
UGA,-6.14
UKR,1.96
UMI,-1.9
URY,1.55
USA,-2.23
UZB,20.58
VAT,4.13
VCT,-5.95
VEN,-5.62
VGB,-5.73
VIR,-6.68
VNM,0.25
VUT,-5.76
WLF,-7.45
WSM,-4.43
YEM,3.43
ZAF,-3.27
ZMB,-3.95
ZWE,-9.58
