region_id,mean,region_name
ABW,1.95,Aruba
AFG.1.12,-16.12,Wakhan
AFG.1.R8abddb145b8788ee,-5.98,Badahan
AFG.1.R91a8634efe8e02a7,-15.39,Badahan
AFG.1.Ra6a2bba0a271cb4a,-6.21,Badahan
AFG.1.Rcf29900a4c191e96,-14.29,Badahan
AFG.1.Rd0d6327d56611fba,-16.53,Badahan
AFG.10.103,43.79,Nad Ali
AFG.10.106,44.44,Nawa-i-Barak Zayi
AFG.10.109,27.68,Washer
AFG.10.98,55.7,Disho
AFG.10.R01090b16282376f5,51.21,Girishk|Hilmend
AFG.10.R4231d3df78d3772c,15.8,Girishk|Hilmend
AFG.10.R7fc4ac9564655b4c,37.29,Girishk|Hilmend
AFG.11.116,14.45,Hirat City
AFG.11.117,15.42,Injil
AFG.11.124,19.14,Shindand
AFG.11.R888b226f710b3709,13.8,Gulran; Kuhsan; Zinda Jan; Ghoryan; Adraskan
AFG.11.R8c077254fc886fac,-11.73,Chishti Sharif; Farsi
AFG.11.R95ece0d29da8aba1,3.45,Kushki Kuhna; Kushk; Karukh; Obe; Pashtun Zarghun; Guzara
AFG.12.Rc50339f5954ae669,30.43,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan
AFG.12.Rd2a3753cae07169e,32.09,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan
AFG.13.140,-9.92,Kabul City
AFG.13.R0d3e2743dd7da761,-14.19,Cabul|Kabol|Kaboul
AFG.13.R2fd01f61b0993bc3,-12.43,Cabul|Kabol|Kaboul
AFG.13.Rc172c1175351df3c,-10.65,Cabul|Kabol|Kaboul
AFG.14.149,22.22,Arghandab
AFG.14.153,23.02,Kandahar City
AFG.14.158,38.19,Reg
AFG.14.160,29.95,Shorabak
AFG.14.161,18.09,Spin Boldak
AFG.14.R125e4bb8260ea315,23.8,Qandahar
AFG.15.167,-10.89,Tagab
AFG.15.R49ce84ced4420d4c,-14.17,Kapesa
AFG.15.R9f61a8d4b0fea672,-14.21,Kapesa
AFG.16.R56f62a5b11d7a76e,-2.32,Musa Khel; Jaji Maydan; Bak; Sabari; Qalandar; Tere Zayi; Nadir Shah Kot; Gurbuz; Spera; Tani
AFG.16.R679857e5b8c74688,2.24,Mando Zayi; Khost (Matun)
AFG.17,-4.34,Kunar
AFG.18.197,25.77,Kunduz
AFG.18.R02a221614471fb78,17.98,Kondoz|Qonduz|Qunduz
